SK_ID_CURR,NAME_CONTRACT_TYPE,CODE_GENDER,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,OCCUPATION_TYPE,ORGANIZATION_TYPE,FONDKAPREMONT_MODE,HOUSETYPE_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,TOTALAREA_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR,FLAG_OWN_CAR_N,FLAG_OWN_CAR_Y,FLAG_OWN_REALTY_N,FLAG_OWN_REALTY_Y,NAME_TYPE_SUITE_Other_A,NAME_TYPE_SUITE_Other_B,WEEKDAY_APPR_PROCESS_START_FRIDAY,WEEKDAY_APPR_PROCESS_START_MONDAY,WEEKDAY_APPR_PROCESS_START_SATURDAY,WEEKDAY_APPR_PROCESS_START_SUNDAY,WEEKDAY_APPR_PROCESS_START_THURSDAY,WEEKDAY_APPR_PROCESS_START_TUESDAY,WEEKDAY_APPR_PROCESS_START_WEDNESDAY,ORGANIZATION_TYPE_XNA,TARGET
100002,Cashloans,M,Unaccompanied,Working,Secondarysecondaryspecial,Singlenotmarried,Houseapartment,Laborers,BusinessEntityType3,regoperaccount,blockofflats,Stonebrick,No,0.0,202500.0,406597.5,24700.5,351000.0,0.018801,-9461.0,-637.0,-3648.0,-2120.0,15.25,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08303696739132256,0.2629485927471776,0.13937578009978951,0.0247,0.0369,0.9722,0.6192,0.0143,0.0,0.069,0.0833,0.125,0.0369,0.0202,0.019,0.0,0.0,0.0252,0.0383,0.9722,0.6341,0.0144,0.0,0.069,0.0833,0.125,0.0377,0.022,0.0198,0.0,0.0,0.025,0.0369,0.9722,0.6243,0.0144,0.0,0.069,0.0833,0.125,0.0375,0.0205,0.0193,0.0,0.0,0.0149,2.0,2.0,2.0,2.0,-1134.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
100003,Cashloans,F,Family,Stateservant,Highereducation,Married,Houseapartment,Corestaff,School,regoperaccount,blockofflats,Block,No,0.0,270000.0,1293502.5,35698.5,1129500.0,0.003540999999999999,-16765.0,-1188.0,-1186.0,-291.0,14.58,1.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3112673113812225,0.6222457752555098,0.5716129431674473,0.0959,0.0529,0.9851,0.7959999999999999,0.0605,0.08,0.0345,0.2917,0.3333,0.013,0.0773,0.0549,0.0039,0.0098,0.0924,0.0538,0.9851,0.804,0.0497,0.0806,0.0345,0.2917,0.3333,0.0128,0.079,0.0554,0.0,0.0,0.0968,0.0529,0.9851,0.7987,0.0608,0.08,0.0345,0.2917,0.3333,0.0132,0.0787,0.0558,0.0039,0.01,0.0714,1.0,0.0,1.0,0.0,-828.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
100004,Revolvingloans,M,Unaccompanied,Working,Secondarysecondaryspecial,Singlenotmarried,Houseapartment,Laborers,Government,notspecified,blockofflats,Block,No,0.0,67500.0,135000.0,6750.0,135000.0,0.010032,-19046.0,-225.0,-4260.0,-2531.0,26.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6292278178857973,0.5559120833904428,0.7295666907060153,0.11030500000000006,0.08604399999999995,0.9792750000000016,0.7286800000000001,0.03747299999999997,0.09387199999999997,0.1379000000000001,0.22764600000000002,0.262348,0.06350499999999998,0.09093299999999996,0.10592300000000003,0.007684000000000011,0.02957999999999998,0.11226999999999997,0.08826200000000001,0.9794900000000007,0.7369059999999997,0.03617500000000001,0.02537900000000001,0.1379000000000001,0.16670000000000013,0.20830000000000012,0.06181400000000002,0.09767999999999992,0.101672,0.007839000000000002,0.030600999999999993,0.11283199999999992,0.08540700000000001,0.9793100000000016,0.7283840000000003,0.037819999999999986,0.10699999999999987,0.1379000000000001,0.182517,0.22165000000000007,0.06454899999999998,0.09303199999999988,0.10742599999999992,0.007780000000000001,0.030708000000000006,0.061726000000000024,0.0,0.0,0.0,0.0,-815.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
100006,Cashloans,F,Unaccompanied,Working,Secondarysecondaryspecial,Civilmarriage,Houseapartment,Laborers,BusinessEntityType3,notspecified,blockofflats,Block,No,0.0,135000.0,312682.5,29686.5,297000.0,0.008019,-19005.0,-3039.0,-9833.0,-2437.0,9.81,1.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6504276313874872,0.6504416904014653,0.5861304646504205,0.11069600000000003,0.08598899999999995,0.9792900000000014,0.7287480000000001,0.037581999999999983,0.09516399999999994,0.1379000000000001,0.226563,0.26186199999999993,0.06270700000000001,0.09134699999999996,0.10608199999999997,0.007700000000000011,0.028221999999999987,0.11145000000000012,0.08823300000000002,0.9795500000000004,0.7376929999999997,0.036927999999999996,0.021353999999999998,0.1379000000000001,0.16670000000000013,0.20830000000000012,0.059210999999999986,0.09715099999999993,0.108472,0.007878000000000003,0.029131999999999995,0.1126129999999999,0.08532799999999996,0.9793300000000016,0.7282500000000002,0.03803599999999998,0.10639999999999987,0.1379000000000001,0.182309,0.22248300000000013,0.06368800000000001,0.09251699999999992,0.10750499999999992,0.007780000000000001,0.029242,0.09192300000000002,2.0,0.0,2.0,0.0,-617.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
100007,Cashloans,M,Unaccompanied,Working,Secondarysecondaryspecial,Singlenotmarried,Houseapartment,Corestaff,Advertising,notspecified,blockofflats,Block,No,0.0,121500.0,513000.0,21865.5,513000.0,0.028663,-19932.0,-3038.0,-4311.0,-3458.0,16.95,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,11.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6463363326019537,0.3227382869704046,0.6097193948703266,0.11128099999999999,0.08623299999999996,0.9791000000000016,0.7266399999999998,0.03746899999999998,0.09437999999999996,0.1379000000000001,0.22848000000000002,0.26304399999999994,0.06282699999999998,0.09133599999999996,0.106483,0.007700000000000011,0.02905699999999999,0.11248200000000008,0.08795400000000002,0.9790650000000012,0.7335059999999998,0.037010000000000015,0.024171,0.1379000000000001,0.16670000000000013,0.20830000000000012,0.058960000000000026,0.0981399999999999,0.108548,0.007878000000000003,0.030097999999999993,0.11256199999999993,0.08535,0.9791050000000016,0.7259050000000002,0.03797999999999998,0.10539999999999987,0.1379000000000001,0.182726,0.2226930000000001,0.06426399999999999,0.09349299999999992,0.10796599999999996,0.007741000000000001,0.030098000000000014,0.07648200000000002,0.0,0.0,0.0,0.0,-1106.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
100008,Cashloans,M,Spousepartner,Stateservant,Secondarysecondaryspecial,Married,Houseapartment,Laborers,Other,notspecified,blockofflats,Block,No,0.0,99000.0,490495.5,27517.5,454500.0,0.035792000000000004,-16941.0,-1588.0,-4970.0,-477.0,21.42,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5445583967950606,0.3542247319929012,0.6212263380626669,0.11162999999999998,0.08592299999999999,0.978585,0.7246679999999998,0.03739499999999997,0.09447199999999996,0.1379000000000001,0.229531,0.26474699999999995,0.06184700000000001,0.09217199999999996,0.10629899999999998,0.0076460000000000096,0.028646999999999995,0.113471,0.088406,0.9784850000000002,0.7323119999999997,0.03647900000000001,0.029808000000000005,0.1379000000000001,0.16670000000000013,0.20830000000000012,0.05981900000000001,0.09903099999999992,0.10110600000000006,0.007878000000000003,0.029397999999999987,0.11381699999999992,0.08556099999999997,0.9788250000000008,0.7237610000000005,0.03798699999999999,0.10479999999999988,0.1379000000000001,0.183976,0.22373600000000013,0.06319,0.09371199999999988,0.10825499999999996,0.007741000000000001,0.029768000000000006,0.05998700000000001,0.0,0.0,0.0,0.0,-2536.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
100009,Cashloans,F,Unaccompanied,Commercialassociate,Highereducation,Married,Houseapartment,Accountants,BusinessEntityType3,notspecified,blockofflats,Block,No,1.0,171000.0,1560726.0,41301.0,1395000.0,0.035792000000000004,-13778.0,-3130.0,-1213.0,-619.0,17.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,2.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7747614130547695,0.7239998516953141,0.4920600938649263,0.10996500000000003,0.08620799999999998,0.9791000000000016,0.7254159999999998,0.03744199999999997,0.09448799999999996,0.1379000000000001,0.23108500000000004,0.26186199999999993,0.06063300000000003,0.09095099999999996,0.10589000000000004,0.007638000000000009,0.029574999999999976,0.11157900000000008,0.08841100000000003,0.9787630000000012,0.7304859999999996,0.03577300000000001,0.02538000000000001,0.1379000000000001,0.16711600000000013,0.20830000000000012,0.05743000000000002,0.09765899999999987,0.10814300000000006,0.007839000000000002,0.030448999999999993,0.11199699999999987,0.085619,0.9791000000000016,0.7249000000000003,0.037921999999999983,0.10459999999999986,0.1379000000000001,0.18355900000000006,0.22227500000000014,0.06165600000000001,0.09365199999999987,0.10753899999999997,0.007741000000000001,0.030462000000000013,0.09062600000000004,1.0,0.0,1.0,0.0,-1562.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
100010,Cashloans,M,Unaccompanied,Stateservant,Highereducation,Married,Houseapartment,Managers,Other,notspecified,blockofflats,Block,No,0.0,360000.0,1530000.0,42075.0,1530000.0,0.0031219999999999998,-18850.0,-449.0,-4597.0,-2379.0,8.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,3.0,3.0,16.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6228920685148548,0.7142792864482229,0.5406544504453575,0.10704100000000004,0.08228899999999997,0.9792800000000014,0.7265719999999999,0.03762099999999997,0.08914400000000003,0.1379000000000001,0.229553,0.2605059999999999,0.06078899999999999,0.09086099999999993,0.10622800000000003,0.007692000000000011,0.029417999999999982,0.11179200000000014,0.08077200000000005,0.9793080000000011,0.7346839999999998,0.036393000000000016,0.027798000000000003,0.1379000000000001,0.16670000000000013,0.20830000000000012,0.059448000000000036,0.0967499999999999,0.10883800000000006,0.007839000000000002,0.030893,0.1117149999999999,0.08086299999999998,0.9793150000000014,0.7263740000000003,0.03804199999999998,0.09659999999999996,0.1379000000000001,0.18293299999999998,0.22206600000000012,0.061982,0.09316699999999987,0.10740199999999993,0.007780000000000001,0.030729000000000013,0.09545000000000003,2.0,0.0,2.0,0.0,-1070.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
100011,Cashloans,F,Children,Pensioner,Secondarysecondaryspecial,Married,Houseapartment,Accountants,XNA,notspecified,blockofflats,Block,No,0.0,112500.0,1019610.0,33826.5,913500.0,0.018634,-20099.0,365243.0,-7427.0,-3514.0,14.51,1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5873340468730377,0.20574728800732814,0.7517237147741489,0.111356,0.08654699999999999,0.9792850000000014,0.7287480000000001,0.03768299999999998,0.09400399999999996,0.1379000000000001,0.22802400000000006,0.26147999999999993,0.06180599999999999,0.09145099999999996,0.10575500000000004,0.007681000000000011,0.028313999999999995,0.11175900000000004,0.08831400000000003,0.9794320000000004,0.7377569999999998,0.03715700000000001,0.023768,0.13376000000000013,0.16670000000000013,0.20830000000000012,0.060631000000000025,0.0981859999999999,0.10360900000000003,0.007878000000000003,0.029021999999999992,0.11199899999999992,0.08572399999999998,0.9793200000000014,0.7282500000000002,0.038240999999999976,0.10759999999999988,0.13824600000000012,0.182517,0.2226920000000002,0.06360299999999999,0.0939249999999999,0.10722999999999992,0.007780000000000001,0.029255000000000014,0.07097400000000001,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
100012,Revolvingloans,M,Unaccompanied,Working,Secondarysecondaryspecial,Singlenotmarried,Houseapartment,Laborers,Electricity,notspecified,blockofflats,Block,No,0.0,135000.0,405000.0,20250.0,405000.0,0.019688999999999998,-14469.0,-2019.0,-14437.0,-3992.0,18.44,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5425587524865579,0.7466436294590924,0.5756817014544484,0.11197199999999992,0.100158,0.9792750000000016,0.7286800000000001,0.03749599999999998,0.09507599999999992,0.12427300000000008,0.230949,0.264085,0.06155899999999999,0.09098399999999997,0.10792099999999996,0.007654000000000011,0.02904199999999998,0.11284299999999994,0.09441100000000004,0.9794900000000007,0.7375629999999996,0.036461,0.027793,0.10443700000000007,0.16670000000000013,0.20830000000000012,0.059553,0.0986379999999999,0.10523600000000002,0.007878000000000003,0.03016999999999998,0.11309300000000001,0.09734699999999996,0.9793100000000016,0.7281830000000002,0.037796999999999976,0.1067999999999999,0.110162,0.18356,0.22415100000000016,0.061475999999999996,0.09399799999999987,0.10875399999999996,0.007780000000000001,0.029755000000000007,0.07220999999999997,2.0,0.0,2.0,0.0,-1673.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.31,1.98,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
